Speed,PacketsPerSecond,Nodes,Throughput,EndToEndDelay,DeliveryRatio,DropRatio
5,100,20,0.00780081,0.00142353,0.398441,0.581991
5,100,40,0.0185217,0.127153,0.283176,0.675364
5,100,70,0.00216802,0.162576,0.269314,0.564899
5,100,100,0.000253571,0.159882,0.147026,0.615336
5,200,20,0.020217,0.00951054,0.39166,0.59841
5,200,40,0.0114685,0.126833,0.175093,0.761946
5,200,70,0.00189003,0.210356,0.189622,0.669027
5,200,100,0.000393792,0.172589,0.112768,0.745345
5,300,20,0.020569,0.0328082,0.285611,0.70107
5,300,40,0.00564935,0.111206,0.132767,0.787993
5,300,70,0.00118399,0.220639,0.124059,0.717875
5,300,100,0.000446215,0.157421,0.0816333,0.779436
5,400,20,0.0411172,0.0535891,0.287456,0.701259
5,400,40,0.0046223,0.206975,0.123035,0.796054
5,400,70,0.00176053,0.264106,0.117347,0.767041
5,400,100,0.000516771,0.170464,0.0766888,0.798591
10,100,20,0.00787231,0.0168917,0.360802,0.573274
10,100,40,0.00480468,0.0849621,0.255398,0.638652
10,100,70,0.000549312,0.192299,0.158792,0.620421
10,100,100,0.000185793,0.149956,0.142865,0.653704
10,200,20,0.0331534,0.0398498,0.364077,0.601433
10,200,40,0.00343029,0.0798265,0.19775,0.745427
10,200,70,0.000521491,0.174544,0.084842,0.789637
10,200,100,0.000310445,0.184609,0.103757,0.738529
10,300,20,0.0202344,0.0232772,0.348851,0.641128
10,300,40,0.00424406,0.16248,0.161416,0.73146
10,300,70,0.000589482,0.211984,0.0781897,0.796683
10,300,100,0.000310962,0.216973,0.084277,0.759449
10,400,20,0.0413934,0.0781035,0.303414,0.645148
10,400,40,0.00811794,0.197398,0.152461,0.762368
10,400,70,0.000711456,0.202778,0.0602511,0.817139
10,400,100,0.000449787,0.214798,0.0709941,0.793879
15,100,20,0.00822442,0.0124799,0.351958,0.592368
15,100,40,0.00254889,0.12127,0.241453,0.590032
15,100,70,0.000338777,0.206846,0.146459,0.639933
15,100,100,0.000214528,0.17495,0.150573,0.679031
15,200,20,0.00736686,0.0477113,0.283151,0.645823
15,200,40,0.00276077,0.149309,0.161147,0.699823
15,200,70,0.000289374,0.218941,0.0923181,0.731742
15,200,100,0.000269992,0.205961,0.0919337,0.756239
15,300,20,0.0101853,0.107105,0.240578,0.678324
15,300,40,0.00225474,0.181576,0.115623,0.737886
15,300,70,0.000373278,0.256481,0.0719234,0.756967
15,300,100,0.000275119,0.195307,0.069233,0.794407
15,400,20,0.0109182,0.127626,0.200639,0.717432
15,400,40,0.00355432,0.168858,0.0979182,0.749928
15,400,70,0.000254738,0.295947,0.0427555,0.800467
15,400,100,0.000445473,0.212816,0.066078,0.837674
20,100,20,0.0504724,0.0101112,0.396291,0.576869
20,100,40,0.00319791,0.0816832,0.223828,0.628939
20,100,70,0.000415628,0.228343,0.145683,0.64445
20,100,100,0.000200992,0.231413,0.147843,0.630313
20,200,20,0.0721776,0.120429,0.311703,0.638948
20,200,40,0.00498616,0.0801675,0.193752,0.709216
20,200,70,0.00031605,0.242548,0.0820213,0.760778
20,200,100,0.000194717,0.224891,0.0773253,0.742457
20,300,20,0.0233016,0.0971031,0.272895,0.684822
20,300,40,0.00304399,0.120102,0.138168,0.760528
20,300,70,0.000296721,0.311989,0.0473628,0.779402
20,300,100,0.000350973,0.22159,0.0713534,0.763
20,400,20,0.0155664,0.108882,0.230349,0.721968
20,400,40,0.00298709,0.179346,0.0961696,0.7684
20,400,70,0.000279401,0.310323,0.0393348,0.792293
20,400,100,0.00022779,0.241263,0.0386543,0.79727
